	City	Town	gasolina 95	gasolina 98	diésel	diésel plus	gasóleo B	biodiésel	GNL	GNC	GLP	Fecha
71	Alicante	Albatera	1,147 €/l	1,279 €/l	1,041 €/l	1,113 €/l	0,861 €/l					2020-04-05 18:08:43.450083
72	Alicante	Alcoy/Alcoi	1,138 €/l	1,324 €/l	1,031 €/l	1,153 €/l					0,629 €/l	2020-04-05 18:08:44.064473
73	Alicante	L'Alfàs del Pi	1,134 €/l	1,275 €/l	1,025 €/l	1,094 €/l						2020-04-05 18:08:44.515020
74	Alicante	Algorfa	1,175 €/l	1,317 €/l	1,055 €/l	1,145 €/l						2020-04-05 18:08:45.194217
75	Alicante	Algueña	1,199 €/l		1,079 €/l	1,139 €/l	0,779 €/l					2020-04-05 18:08:49.039271
76	Alicante	Alicante/Alacant	1,131 €/l	1,282 €/l	1,033 €/l	1,103 €/l	0,743 €/l	1,108 €/l			0,662 €/l	2020-04-05 18:08:49.547052
77	Alicante	Almoradí	1,126 €/l	1,366 €/l	1,013 €/l	1,101 €/l	0,759 €/l					2020-04-05 18:08:52.765669
78	Alicante	Altea	1,135 €/l	1,279 €/l	1,038 €/l	1,124 €/l						2020-04-05 18:08:53.273548
79	Alicante	Aspe	1,097 €/l	1,371 €/l	1,005 €/l	1,146 €/l	0,839 €/l					2020-04-05 18:08:53.748532
80	Alicante	Banyeres de Mariola	1,159 €/l	1,279 €/l	1,039 €/l	1,119 €/l						2020-04-05 18:08:54.181040
81	Alicante	Beneixama	1,099 €/l	1,300 €/l	0,998 €/l		0,660 €/l					2020-04-05 18:08:55.063492
82	Alicante	Benejúzar	1,249 €/l	1,309 €/l	1,099 €/l	1,209 €/l	0,879 €/l					2020-04-05 18:09:09.130561
83	Alicante	Benidorm	1,141 €/l	1,288 €/l	1,033 €/l	1,113 €/l					0,639 €/l	2020-04-05 18:09:11.544836
84	Alicante	Benijófar										2020-04-05 18:09:11.824574
85	Alicante	Benilloba	1,129 €/l		1,029 €/l		0,799 €/l					2020-04-05 18:09:12.219044
86	Alicante	Benissa	1,124 €/l	1,277 €/l	1,017 €/l	1,126 €/l					0,649 €/l	2020-04-05 18:09:12.639006
87	Alicante	El Benitachell/Poble Nou de Benitatxell	1,000 €/l	1,299 €/l	0,999 €/l						0,769 €/l	2020-04-05 18:09:13.016729
88	Alicante	Biar	1,149 €/l	1,369 €/l	1,049 €/l	1,129 €/l	0,879 €/l					2020-04-05 18:09:13.403141
89	Alicante	Bigastro	1,114 €/l		0,999 €/l	1,099 €/l						2020-04-05 18:09:13.812324
90	Alicante	Busot	1,149 €/l		1,069 €/l							2020-04-05 18:09:14.144880
91	Alicante	Callosa d,'En Sarrià	1,144 €/l	1,283 €/l	1,057 €/l	1,127 €/l	0,725 €/l					2020-04-05 18:09:18.555018
92	Alicante	Callosa de Segura	1,182 €/l	1,353 €/l	1,072 €/l	1,152 €/l						2020-04-05 18:09:18.943651
93	Alicante	Calpe/Calp	1,133 €/l	1,298 €/l	1,025 €/l	1,101 €/l						2020-04-05 18:09:19.395987
94	Alicante	El Campello	1,166 €/l	1,297 €/l	1,054 €/l	1,139 €/l					0,665 €/l	2020-04-05 18:09:19.796235
95	Alicante	Castalla	1,124 €/l	1,292 €/l	1,022 €/l	1,114 €/l	0,869 €/l					2020-04-05 18:09:20.208093
96	Alicante	Catral	1,119 €/l	1,279 €/l	1,009 €/l	1,089 €/l	0,739 €/l					2020-04-05 18:09:20.669555
97	Alicante	Cocentaina	1,112 €/l	1,276 €/l	1,009 €/l	1,084 €/l					0,599 €/l	2020-04-05 18:09:21.058133
98	Alicante	Cox	1,159 €/l	1,290 €/l	1,039 €/l	1,124 €/l						2020-04-05 18:09:21.884909
99	Alicante	Crevillent	1,138 €/l	1,276 €/l	1,049 €/l	1,111 €/l	0,826 €/l				0,665 €/l	2020-04-05 18:09:22.357916
100	Alicante	Dénia	1,133 €/l	1,279 €/l	1,020 €/l	1,095 €/l						2020-04-05 18:09:22.759548
101	Alicante	Dolores	1,119 €/l	1,271 €/l	1,019 €/l	1,089 €/l	0,729 €/l					2020-04-05 18:09:23.115817
102	Alicante	Elche/Elx	1,127 €/l	1,298 €/l	1,032 €/l	1,111 €/l	0,778 €/l				0,665 €/l	2020-04-05 18:09:23.567028
103	Alicante	Elda	1,125 €/l	1,249 €/l	1,004 €/l	1,084 €/l					0,659 €/l	2020-04-05 18:09:23.934339
104	Alicante	Finestrat	1,101 €/l	1,248 €/l	1,001 €/l	1,067 €/l						2020-04-05 18:09:24.523579
105	Alicante	Formentera del Segura	1,197 €/l	1,437 €/l	1,052 €/l	1,142 €/l						2020-04-05 18:09:24.931802
106	Alicante	Gata de Gorgos	1,139 €/l		1,029 €/l	1,089 €/l						2020-04-05 18:09:25.291943
107	Alicante	Granja de Rocamora	1,149 €/l		1,029 €/l	1,099 €/l						2020-04-05 18:09:26.027243
108	Alicante	Guardamar del Segura	1,145 €/l	1,312 €/l	1,035 €/l	1,121 €/l	0,799 €/l				0,615 €/l	2020-04-05 18:09:26.460522
109	Alicante	Hondón de las Nieves	1,149 €/l		1,039 €/l	1,159 €/l	0,839 €/l					2020-04-05 18:09:26.818935
110	Alicante	Hondón de los Frailes	1,099 €/l		0,939 €/l	1,029 €/l						2020-04-05 18:09:27.408631
111	Alicante	Ibi	1,135 €/l	1,340 €/l	1,029 €/l	1,109 €/l	0,840 €/l					2020-04-05 18:09:27.782536
112	Alicante	Jacarilla	1,199 €/l	1,299 €/l	1,079 €/l	1,169 €/l	0,829 €/l					2020-04-05 18:09:28.128162
113	Alicante	Jalón/Xaló	1,124 €/l		1,018 €/l	1,088 €/l	0,739 €/l					2020-04-05 18:09:28.543355
114	Alicante	Jávea/Xàbia	1,092 €/l	1,252 €/l	0,988 €/l	1,075 €/l					0,669 €/l	2020-04-05 18:09:29.079051
115	Alicante	Jijona/Xixona	1,129 €/l		1,055 €/l	1,125 €/l						2020-04-05 18:09:29.449719
116	Alicante	Monforte del Cid	1,179 €/l	1,295 €/l	1,080 €/l	1,124 €/l	0,755 €/l					2020-04-05 18:09:29.865271
117	Alicante	Monóvar/Monòver	1,153 €/l	1,259 €/l	1,033 €/l	1,073 €/l	0,731 €/l					2020-04-05 18:09:30.211077
118	Alicante	Los Montesinos	1,139 €/l	1,289 €/l	1,029 €/l	1,099 €/l	0,889 €/l					2020-04-05 18:09:30.598829
119	Alicante	Muro de Alcoy	1,107 €/l	1,234 €/l	1,017 €/l	1,093 €/l	0,789 €/l					2020-04-05 18:09:31.034744
120	Alicante	Mutxamel	1,143 €/l	1,282 €/l	1,053 €/l	1,129 €/l	0,789 €/l					2020-04-05 18:09:31.402116
121	Alicante	Novelda	1,152 €/l	1,338 €/l	1,056 €/l	1,149 €/l						2020-04-05 18:09:31.800693
122	Alicante	La Nucia	1,129 €/l	1,290 €/l	1,021 €/l	1,119 €/l						2020-04-05 18:09:32.165718
123	Alicante	Ondara	1,124 €/l	1,275 €/l	1,009 €/l	1,064 €/l	0,742 €/l					2020-04-05 18:09:32.514159
124	Alicante	Onil	1,125 €/l	1,279 €/l	1,015 €/l	1,117 €/l						2020-04-05 18:09:33.381028
125	Alicante	Orba	1,109 €/l	1,259 €/l	1,009 €/l		0,739 €/l					2020-04-05 18:09:33.783812
126	Alicante	Orihuela	1,154 €/l	1,286 €/l	1,045 €/l	1,114 €/l	0,759 €/l				0,629 €/l	2020-04-05 18:09:34.216923
127	Alicante	Pedreguer	1,139 €/l	1,273 €/l	1,044 €/l	1,119 €/l						2020-04-05 18:09:34.575090
128	Alicante	Pego	1,162 €/l	1,306 €/l	1,064 €/l	1,114 €/l	0,821 €/l					2020-04-05 18:09:35.001584
129	Alicante	Petrer	1,092 €/l	1,284 €/l	1,003 €/l	1,093 €/l						2020-04-05 18:09:35.484186
130	Alicante	Pilar de la Horadada	1,114 €/l	1,234 €/l	1,007 €/l	1,080 €/l	0,612 €/l					2020-04-05 18:09:35.858256
131	Alicante	Pinoso	1,104 €/l	1,249 €/l	0,994 €/l	1,064 €/l	0,726 €/l					2020-04-05 18:09:36.261572
132	Alicante	Redován	1,199 €/l	1,324 €/l	1,099 €/l	1,167 €/l						2020-04-05 18:09:36.720385
133	Alicante	Rojales	1,171 €/l	1,307 €/l	1,059 €/l	1,127 €/l						2020-04-05 18:09:37.102134
134	Alicante	La Romana	1,115 €/l	1,215 €/l	0,985 €/l	1,045 €/l	0,745 €/l					2020-04-05 18:09:37.521134
135	Alicante	Salinas	1,149 €/l		1,059 €/l		0,799 €/l					2020-04-05 18:09:38.024951
136	Alicante	San Fulgencio	1,119 €/l	1,269 €/l	1,019 €/l	1,109 €/l	0,789 €/l					2020-04-05 18:09:38.442083
137	Alicante	San Isidro			1,064 €/l		0,824 €/l		0,868 €/l	0,939 €/l		2020-04-05 18:09:39.085703
138	Alicante	San Miguel de Salinas	1,169 €/l	1,269 €/l	1,019 €/l	1,082 €/l						2020-04-05 18:09:39.489041
139	Alicante	San Vicente del Raspeig/Sant Vicent del Raspeig	1,127 €/l	1,287 €/l	1,013 €/l	1,098 €/l					0,665 €/l	2020-04-05 18:09:39.910508
140	Alicante	Sant Joan d,'Alacant	1,114 €/l	1,294 €/l	1,010 €/l	1,109 €/l						2020-04-05 18:09:40.345418
141	Alicante	Santa Pola	1,097 €/l	1,261 €/l	0,987 €/l	1,079 €/l					0,651 €/l	2020-04-05 18:09:40.762614
142	Alicante	Sax	1,119 €/l	1,242 €/l	1,031 €/l	1,096 €/l						2020-04-05 18:09:41.354734
143	Alicante	Teulada	1,132 €/l	1,262 €/l	1,036 €/l	1,109 €/l	0,786 €/l					2020-04-05 18:09:41.795494
144	Alicante	Tibi	1,199 €/l	1,349 €/l	1,089 €/l	1,169 €/l						2020-04-05 18:09:42.308928
145	Alicante	Torrevieja	1,150 €/l	1,292 €/l	1,030 €/l	1,108 €/l					0,600 €/l	2020-04-05 18:09:42.947358
146	Alicante	El Verger	1,289 €/l	1,339 €/l	1,214 €/l	1,289 €/l						2020-04-05 18:09:43.335488
147	Alicante	La Villajoyosa/Vila Joiosa	1,120 €/l	1,247 €/l	1,028 €/l	1,100 €/l	0,789 €/l				0,638 €/l	2020-04-05 18:09:43.802572
148	Alicante	Villena	1,149 €/l	1,329 €/l	1,048 €/l	1,127 €/l	0,769 €/l				0,629 €/l	2020-04-05 18:09:44.276856
149	Almería	Abla	1,189 €/l	1,329 €/l	1,069 €/l	1,139 €/l	0,819 €/l					2020-04-05 18:09:51.351643
150	Almería	Adra	1,043 €/l	1,239 €/l	1,011 €/l	1,124 €/l	0,802 €/l					2020-04-05 18:09:51.757183
151	Almería	Albánchez	1,315 €/l		1,215 €/l							2020-04-05 18:09:52.172923
152	Almería	Albox	1,075 €/l	1,271 €/l	0,987 €/l	1,012 €/l	0,639 €/l				0,658 €/l	2020-04-05 18:09:52.596211
153	Almería	Alhama de Almería	1,139 €/l	1,269 €/l	1,079 €/l	1,149 €/l	0,789 €/l					2020-04-05 18:09:52.957545
154	Almería	Almería	1,107 €/l	1,273 €/l	1,042 €/l	1,128 €/l	0,847 €/l				0,677 €/l	2020-04-05 18:09:53.500956
155	Almería	Antas	1,108 €/l	1,304 €/l	1,044 €/l	1,104 €/l	0,674 €/l				0,689 €/l	2020-04-05 18:09:53.918292
156	Almería	Arboleas	0,979 €/l		0,899 €/l							2020-04-05 18:09:54.346869
157	Almería	Benahadux	1,099 €/l	1,223 €/l	1,049 €/l	1,119 €/l						2020-04-05 18:09:54.825539
158	Almería	Berja	1,039 €/l	1,239 €/l	0,964 €/l	1,058 €/l	0,599 €/l					2020-04-05 18:09:55.254876
159	Almería	Canjáyar	1,339 €/l	1,499 €/l	1,209 €/l	1,269 €/l	0,889 €/l					2020-04-05 18:09:55.730412
160	Almería	Cantoria	1,139 €/l		0,947 €/l							2020-04-05 18:09:56.237381
161	Almería	Carboneras	1,149 €/l	1,292 €/l	1,079 €/l	1,169 €/l						2020-04-05 18:09:56.592983
162	Almería	Chirivel	1,169 €/l	1,269 €/l	1,069 €/l	1,169 €/l	0,520 €/l					2020-04-05 18:09:56.991787
163	Almería	Cuevas del Almanzora	1,081 €/l	1,261 €/l	1,007 €/l	1,106 €/l	0,711 €/l					2020-04-05 18:09:57.354362
164	Almería	Dalías	0,898 €/l	1,225 €/l	0,838 €/l	0,995 €/l	0,535 €/l					2020-04-05 18:09:57.711250
165	Almería	El Ejido	1,068 €/l	1,286 €/l	0,975 €/l	1,042 €/l	0,688 €/l				0,629 €/l	2020-04-05 18:09:58.138928
166	Almería	Fiñana	1,189 €/l	1,329 €/l	1,069 €/l	1,139 €/l	0,819 €/l					2020-04-05 18:09:58.554633
167	Almería	Fines	1,098 €/l	1,239 €/l	0,989 €/l							2020-04-05 18:09:58.912130
168	Almería	Gádor	1,109 €/l	1,233 €/l	1,059 €/l	1,129 €/l						2020-04-05 18:09:59.275954
169	Almería	Los Gallardos	1,095 €/l		1,039 €/l	1,119 €/l	0,722 €/l					2020-04-05 18:09:59.702001
170	Almería	Huércal de Almería	1,114 €/l	1,223 €/l	1,059 €/l	1,129 €/l					0,679 €/l	2020-04-05 18:10:00.056453
171	Almería	Huércal-Overa	1,089 €/l	1,247 €/l	1,006 €/l	1,113 €/l	0,814 €/l					2020-04-05 18:10:00.430222
172	Almería	Láujar de Andarax	1,159 €/l		1,089 €/l		0,800 €/l					2020-04-05 18:10:00.809580
173	Almería	Lubrín	1,159 €/l		1,059 €/l							2020-04-05 18:10:01.168928
174	Almería	Macael	1,059 €/l		0,939 €/l	1,119 €/l						2020-04-05 18:10:01.557151
175	Almería	María	1,179 €/l	1,309 €/l	1,119 €/l	1,189 €/l	0,779 €/l					2020-04-05 18:10:01.912525
176	Almería	Mojácar	1,097 €/l	1,202 €/l	1,039 €/l	1,119 €/l						2020-04-05 18:10:02.366163
177	Almería	La Mojonera	1,119 €/l	1,254 €/l	1,069 €/l	1,146 €/l	0,722 €/l					2020-04-05 18:10:02.865946
178	Almería	Nacimiento	1,139 €/l	1,259 €/l	1,059 €/l	1,059 €/l	0,744 €/l					2020-04-05 18:10:03.375209
179	Almería	Níjar	1,106 €/l	1,289 €/l	1,009 €/l	1,146 €/l	0,772 €/l				0,659 €/l	2020-04-05 18:10:03.738305
180	Almería	Olula del Río	1,079 €/l	1,319 €/l	0,939 €/l	1,119 €/l						2020-04-05 18:10:06.061285
181	Almería	Oria	1,199 €/l		1,089 €/l		0,699 €/l					2020-04-05 18:10:06.444478
182	Almería	Pulpí	1,079 €/l	1,203 €/l	1,022 €/l	1,119 €/l						2020-04-05 18:10:06.989283
183	Almería	Purchena	1,010 €/l		0,985 €/l							2020-04-05 18:10:07.419895
184	Almería	Rioja	1,099 €/l	1,229 €/l	1,069 €/l							2020-04-05 18:10:07.818474
185	Almería	Roquetas de Mar	1,127 €/l	1,283 €/l	1,046 €/l	1,130 €/l	0,677 €/l				0,684 €/l	2020-04-05 18:10:08.270638
186	Almería	Santa Fe de Mondújar			1,089 €/l	1,279 €/l	0,659 €/l					2020-04-05 18:10:08.636673
187	Almería	Sorbas	1,189 €/l		1,089 €/l	1,119 €/l	0,793 €/l					2020-04-05 18:10:10.569116
188	Almería	Tabernas	1,262 €/l	1,424 €/l	1,126 €/l	1,212 €/l	0,909 €/l					2020-04-05 18:10:10.929252
189	Almería	Taberno	1,265 €/l		1,135 €/l							2020-04-05 18:10:13.709996
190	Almería	Tahal	1,279 €/l		1,139 €/l	1,209 €/l	0,869 €/l					2020-04-05 18:10:14.100369
191	Almería	Tíjola	1,099 €/l	1,219 €/l	1,029 €/l	1,099 €/l	0,719 €/l					2020-04-05 18:10:14.510823
192	Almería	Vélez-Blanco	1,164 €/l	1,399 €/l	1,049 €/l		0,580 €/l					2020-04-05 18:10:15.069822
193	Almería	Vélez-Rubio	1,212 €/l	1,285 €/l	1,083 €/l		0,809 €/l					2020-04-05 18:10:15.568254
194	Almería	Vera	1,086 €/l	1,246 €/l	1,031 €/l	1,144 €/l					0,659 €/l	2020-04-05 18:10:16.052269
195	Almería	Viator	1,099 €/l	1,255 €/l	1,033 €/l	1,139 €/l						2020-04-05 18:10:16.546313
196	Almería	Vícar	1,052 €/l	1,280 €/l	1,011 €/l	1,076 €/l	0,838 €/l					2020-04-05 18:10:16.995388
197	Almería	Zurgena	1,100 €/l		1,000 €/l							2020-04-05 18:10:17.355682
198	Asturias	Allande	1,198 €/l		1,098 €/l	1,198 €/l	0,798 €/l					2020-04-05 18:10:27.369513
199	Asturias	Aller	1,139 €/l	1,279 €/l	1,089 €/l	1,172 €/l	0,719 €/l					2020-04-05 18:10:27.789838
200	Asturias	Avilés	1,124 €/l	1,255 €/l	1,049 €/l	1,140 €/l	0,750 €/l				0,669 €/l	2020-04-05 18:10:28.441360
201	Asturias	Belmonte de Miranda	1,268 €/l		1,188 €/l							2020-04-05 18:10:28.912116
202	Asturias	Bimenes	1,129 €/l		1,049 €/l	1,099 €/l						2020-04-05 18:10:29.422839
203	Asturias	Boal	1,129 €/l		1,069 €/l	1,119 €/l	0,799 €/l					2020-04-05 18:10:29.787710
204	Asturias	Cabrales	1,219 €/l	1,329 €/l	1,079 €/l		0,765 €/l					2020-04-05 18:10:30.176451
205	Asturias	Cangas de Onís	1,194 €/l	1,332 €/l	1,086 €/l	1,192 €/l	0,889 €/l					2020-04-05 18:10:30.670230
206	Asturias	Cangas del Narcea	1,178 €/l	1,368 €/l	1,099 €/l	1,198 €/l	0,690 €/l				0,790 €/l	2020-04-05 18:10:31.223613
207	Asturias	Carreño	1,148 €/l	1,276 €/l	1,072 €/l	1,166 €/l	0,696 €/l				0,669 €/l	2020-04-05 18:10:31.643555
208	Asturias	Castrillón	1,092 €/l	1,229 €/l	1,015 €/l	1,169 €/l						2020-04-05 18:10:32.000728
209	Asturias	Castropol	1,122 €/l		0,984 €/l							2020-04-05 18:10:32.426397
210	Asturias	Coaña	1,132 €/l	1,249 €/l	1,082 €/l	1,142 €/l	0,704 €/l				0,759 €/l	2020-04-05 18:10:32.842127
211	Asturias	Colunga	1,166 €/l	1,299 €/l	1,080 €/l	1,163 €/l	0,909 €/l					2020-04-05 18:10:33.371709
212	Asturias	Corvera de Asturias	1,124 €/l	1,249 €/l	1,061 €/l	1,128 €/l	0,704 €/l					2020-04-05 18:10:33.803893
213	Asturias	Cudillero	1,209 €/l	1,314 €/l	1,097 €/l	1,184 €/l						2020-04-05 18:10:35.652202
214	Asturias	El Franco	1,139 €/l	1,239 €/l	1,079 €/l	1,129 €/l	0,704 €/l					2020-04-05 18:10:36.434606
215	Asturias	Gijón	1,123 €/l	1,256 €/l	1,052 €/l	1,111 €/l	0,772 €/l			0,980 €/l	0,703 €/l	2020-04-05 18:10:36.894221
216	Asturias	Gozón	1,139 €/l		1,069 €/l	1,149 €/l	0,750 €/l					2020-04-05 18:10:37.372753
